DTRI_ID	TF_Symbol_Human	Target_Symbol_Human	PubMed_IDs	Databases
tri_10395	TP53	APAF1	11389439, 18951482, 11896574, 15972851, 11591730, 12883670	TFactS, TRRUST
tri_10396	TP53	APCS	15378026	TFactS, TRRUST
tri_10397	TP53	BAK1	10741712, 22671997	TFactS, TRRUST
tri_10398	TP53	BCL3	12808109	TFactS, TRRUST
tri_10399	TP53	CASP7	16918502, 18064040	TFactS, TRRUST
tri_10400	TP53	CAV1	10684646	TFactS, TRRUST
tri_10401	TP53	CTNNB1	11564862, 19411072	TFactS, TRRUST
tri_10402	TP53	DKK1	10777218, 15229249	TFactS, TRRUST
tri_10403	TP53	EGFR	8152794, 10029407	TFactS, TRRUST
tri_10404	TP53	ELF4	20805247	TFactS, TRRUST
tri_10405	TP53	EPHA2	11641774	TFactS, TRRUST
tri_10406	TP53	EZH2	15208672, 21165554	TFactS, TRRUST
tri_10407	TP53	GPD1	12734185	TFactS
tri_10408	TP53	HIC1	16301995	TFactS
tri_10409	TP53	HRAS	9662334, 11127813	TFactS, TRRUST
tri_10410	TP53	HSP90AB1	15284248	TFactS, TRRUST
tri_10411	TP53	INTS7	18213392	TFactS
tri_10412	TP53	KLK3	11504717	TFactS
tri_10413	TP53	LITAF	10321740	TFactS
tri_10414	TP53	MAD1L1	12876282	TFactS, TRRUST
tri_10415	TP53	NFATC4	14990988	TFactS
tri_10416	TP53	NME1	12669312	TFactS, TRRUST
tri_10417	TP53	NOS2	11092782	TFactS
tri_10418	TP53	NOTCH1	14991602, 17353266, 20442293, 17344417	TFactS, TRRUST
tri_10419	TP53	PCNA	15358233, 7909518	TFactS, TRRUST
tri_10420	TP53	PEG3	11679586	TFactS
tri_10421	TP53	PLK1	15016801, 24076372	TFactS, TRRUST
tri_10422	TP53	PML	14992722	TFactS, TRRUST
tri_10423	TP53	PRKAB1	12771025	TFactS, TRRUST
tri_10424	TP53	PRODH	18794809	TFactS
tri_10425	TP53	RAD51	16398215	TFactS
tri_10426	TP53	RRM2B	10980602, 10716435, 15856024, 19837670	TFactS, TRRUST
tri_10427	TP53	S100B	15178678	TFactS, TRRUST
tri_10428	TP53	SERPINB5	17204482, 10692390, 17700520	TFactS, TRRUST
tri_10429	TP53	SIVA1	15105421	TFactS, TRRUST
tri_10430	TP53	SREBF1	12734185	TFactS, TRRUST
tri_10431	TP53	TBXAS1	14586398	TFactS, TRRUST
tri_10432	TP53	TCF4	14990988	TFactS, TRRUST
tri_10433	TP53	TERT	10778946, 18754863	TFactS, TRRUST
tri_10434	TP53	TGFA	7651386	TFactS
tri_10435	TP53	TP53TG5	10719363	TFactS
tri_10436	TP53	TP63	11238924	TFactS
tri_10437	TP53	TYRP1	10640990	TFactS
tri_10438	TP53	VCAN	12438652	TFactS, TRRUST
tri_10439	TP53	VEGFA	11559575, 16684540	TFactS, TRRUST
tri_11818	TP53	CKM	9571041, 8389468, 7488858, 9690516	TFe, TRRUST
tri_11819	TP53	EI24	10594026	TFe, TRRUST
tri_17691	TP53	ABCB1	10029407, 18234965	TRRUST
tri_17692	TP53	AFP	14522900, 15657445	TRRUST
tri_17693	TP53	AKT1	12485897	TRRUST
tri_17694	TP53	ALKBH2	20661249	TRRUST
tri_17695	TP53	ALOX5	17018618	TRRUST
tri_17696	TP53	ANKRD1	20599664	TRRUST
tri_17697	TP53	ANTXR1	11711532	TRRUST
tri_17698	TP53	AQP3	11231003	TRRUST
tri_17699	TP53	ADGRB1	11875720	TRRUST
tri_17700	TP53	BCL2	11313951, 17693666, 19411072, 20428827, 9000137, 21859835, 16294215, 17913397	TRRUST
tri_17701	TP53	BCL2L1	9000137, 18172861	TRRUST
tri_17702	TP53	BDKRB2	15632413	TRRUST
tri_17703	TP53	BGLAP	21964930	TRRUST
tri_17704	TP53	BRCA1	9619832, 21742769	TRRUST
tri_17705	TP53	BRCA2	18765668, 9619832	TRRUST
tri_17706	TP53	BTG2	16581545, 18445702	TRRUST
tri_17707	TP53	BTG3	18590053	TRRUST
tri_17708	TP53	CABLES1	11706030	TRRUST
tri_17709	TP53	CARM1	20462455	TRRUST
tri_17710	TP53	CASP3	21859835	TRRUST
tri_17711	TP53	CCNA1	17530187	TRRUST
tri_17712	TP53	CCNA2	8270002, 8641461	TRRUST
tri_17713	TP53	CCNB2	12889596, 15831478	TRRUST
tri_17714	TP53	CCND1	12808109	TRRUST
tri_17715	TP53	CDK2	12732645	TRRUST
tri_17716	TP53	CDK4	17530187	TRRUST
tri_17717	TP53	CDKN1B	15988033	TRRUST
tri_17718	TP53	CHEK2	10531348	TRRUST
tri_17719	TP53	CHUK	15469934	TRRUST
tri_17720	TP53	CRYAB	21556774	TRRUST
tri_17721	TP53	CTSD	10029407	TRRUST
tri_17722	TP53	CYFIP2	15856024	TRRUST
tri_17723	TP53	DDB1	16357511, 19382146	TRRUST
tri_17724	TP53	DDB2	16357511, 12771027, 12967652, 15856024, 15927209, 22336944	TRRUST
tri_17725	TP53	DNMT1	20570896, 21478913, 18555750	TRRUST
tri_17726	TP53	E2F1	8557038	TRRUST
tri_17727	TP53	E2F3	20428827	TRRUST
tri_17728	TP53	E2F7	22802528	TRRUST
tri_17729	TP53	EGR1	16990849	TRRUST
tri_17730	TP53	ESR1	21655924	TRRUST
tri_17731	TP53	FDXR	12370809	TRRUST
tri_17732	TP53	FGF2	10029407	TRRUST
tri_17733	TP53	FOXM1	21518729, 25482129	TRRUST
tri_17734	TP53	FOXO3	19299143, 10051583, 20564353	TRRUST
tri_17735	TP53	FRMD5	19139068	TRRUST
tri_17736	TP53	FUS	12364590	TRRUST
tri_17737	TP53	GC	8642300	TRRUST
tri_17738	TP53	GLI2	18813803	TRRUST
tri_17739	TP53	HIPK2	11740489	TRRUST
tri_17740	TP53	HSF1	20180806	TRRUST
tri_17741	TP53	ID1	16557594	TRRUST
tri_17742	TP53	ID2	16557594, 21608079	TRRUST
tri_17743	TP53	IGF1R	12444079, 17097318, 11001824, 17600529	TRRUST
tri_17744	TP53	ING1	16465410	TRRUST
tri_17745	TP53	IPO7	22284678	TRRUST
tri_17746	TP53	KLF2	23202365	TRRUST
tri_17747	TP53	MAP4	19411072, 10521394	TRRUST
tri_17748	TP53	MCL1	19411072	TRRUST
tri_17749	TP53	MCM7	15899946	TRRUST
tri_17750	TP53	MDM4	20036872, 20372076	TRRUST
tri_17751	TP53	MET	21831840, 7728766	TRRUST
tri_17752	TP53	MGMT	17564708, 19846904, 20525765	TRRUST
tri_17753	TP53	MKI67	14675138	TRRUST
tri_17754	TP53	MMP1	15108353	TRRUST
tri_17755	TP53	MYC	19411072, 19202062, 22986743, 9632756	TRRUST
tri_17756	TP53	NFKB1	15988033	TRRUST
tri_17757	TP53	NKX3-1	17202838, 15735665	TRRUST
tri_17758	TP53	NLRC4	15580302	TRRUST
tri_17759	TP53	PAX5	21319196	TRRUST
tri_17760	TP53	PERP	17344317, 15856024, 14707288	TRRUST
tri_17761	TP53	PIAS3	11877452	TRRUST
tri_17762	TP53	PLAGL1	11896574	TRRUST
tri_17763	TP53	PLK3	16581545, 18445702	TRRUST
tri_17764	TP53	PMAIP1	14695212, 15856024	TRRUST
tri_17765	TP53	POLD1	11375983	TRRUST
tri_17766	TP53	PPARGC1A	19139068	TRRUST
tri_17767	TP53	PTPA	10787423	TRRUST, TFactS
tri_17768	TP53	PRC1	12889596	TRRUST
tri_17769	TP53	PRG3	12135761	TRRUST
tri_17770	TP53	PTEN	17344317, 11545734	TRRUST
tri_17771	TP53	PTPN13	11696979	TRRUST
tri_17772	TP53	PTTG1	12355087, 15016801	TRRUST
tri_17773	TP53	RAD51B	9878257	TRRUST
tri_17774	TP53	RECQL4	15674334	TRRUST
tri_17775	TP53	REEP5	8557038	TRRUST
tri_17776	TP53	RELA	15988033	TRRUST
tri_17777	TP53	SIAH1	20421190	TRRUST
tri_17778	TP53	SLC2A1	22483234	TRRUST
tri_17779	TP53	SLC6A6	16734743, 12163498	TRRUST
tri_17780	TP53	SMAD3	21900401	TRRUST
tri_17781	TP53	SSTR2	14695784	TRRUST
tri_17782	TP53	STAT1	12364590	TRRUST
tri_17783	TP53	STAT3	11809683	TRRUST
tri_17784	TP53	TCF7L2	14990988	TRRUST
tri_17785	TP53	THBS1	10029407, 10101800, 19826414, 12942774, 17056717, 22028325	TRRUST
tri_17786	TP53	TP73	11238924, 16990849, 17693405	TRRUST
tri_17787	TP53	TRIM22	15064739	TRRUST
tri_17788	TP53	TYMS	21351099, 9260894	TRRUST
tri_17789	TP53	UHRF1	18220474, 19501055	TRRUST
tri_17790	TP53	UHRF1BP1	18220474	TRRUST
tri_17791	TP53	WRN	11427532	TRRUST
tri_17792	TP53	XPC	12771027, 12967652, 15927209, 16357511, 22336944	TRRUST
tri_17793	TP53	XPO1	22284678	TRRUST
tri_22183	TP53	ABCC1	9865734	TRRUST
tri_22184	TP53	AGT	23019230	TRRUST
tri_22185	TP53	AGTR1	23019230	TRRUST
tri_22186	TP53	AMELY	9189625	TRRUST
tri_22187	TP53	AXL	22989750	TRRUST
tri_22188	TP53	CASP6	18064040	TRRUST
tri_22189	TP53	CASP8	22010212	TRRUST
tri_22190	TP53	CDK5	24341977	TRRUST
tri_22191	TP53	CDKN2C	15680327	TRRUST
tri_22192	TP53	CKAP2	16061649	TRRUST
tri_22193	TP53	CKS1B	17377499	TRRUST
tri_22194	TP53	COL2A1	24192518	TRRUST
tri_22195	TP53	CXCR2	23869868	TRRUST
tri_22196	TP53	C10orf90	20843368	TRRUST
tri_22197	TP53	DDIT4	18445702, 21896779	TRRUST
tri_22198	TP53	DUSP2	12673251	TRRUST
tri_22199	TP53	DUSP4	16778175	TRRUST
tri_22200	TP53	DYRK1A	24341977	TRRUST
tri_22201	TP53	E4F1	10644996	TRRUST
tri_22202	TP53	EDIL3	24192518	TRRUST
tri_22203	TP53	FOS	8604347, 10214938, 9696032	TRRUST
tri_22204	TP53	FOXP3	24006461	TRRUST
tri_22205	TP53	FPR1	19037090	TRRUST
tri_22206	TP53	GAP43	19057620	TRRUST
tri_22207	TP53	GLIPR1	11971968	TRRUST
tri_22208	TP53	GSK3B	24341977	TRRUST
tri_22209	TP53	GTSE1	9724637	TRRUST
tri_22210	TP53	HDGF	16987236	TRRUST
tri_22211	TP53	HGF	9023107	TRRUST
tri_22212	TP53	HMOX1	21552291, 22670665	TRRUST
tri_22213	TP53	INS	22242153	TRRUST
tri_22214	TP53	INSR	8665514	TRRUST
tri_22215	TP53	KRT19	11146550	TRRUST
tri_22216	TP53	LTF	15265983	TRRUST
tri_22217	TP53	MXI1	21665145	TRRUST
tri_22218	TP53	MAPK1	18310282	TRRUST
tri_22219	TP53	MCTS1	21138557	TRRUST
tri_22220	TP53	MYOD1	1647009	TRRUST
tri_22221	TP53	MYOG	25501595	TRRUST
tri_22222	TP53	NDRG1	18445702	TRRUST
tri_22223	TP53	NEUROD2	25533343	TRRUST
tri_22224	TP53	NKX2-5	25677450	TRRUST
tri_22225	TP53	NR0B2	22034226	TRRUST
tri_22226	TP53	NR3C1	17150106	TRRUST
tri_22227	TP53	NUPR1	11896600	TRRUST
tri_22228	TP53	OR10A4	21821060	TRRUST
tri_22229	TP53	PAPPA	21829624	TRRUST
tri_22230	TP53	PAX2	22984579	TRRUST
tri_22231	TP53	PCBP2	19357310	TRRUST
tri_22232	TP53	PER2	24051492	TRRUST
tri_22233	TP53	PLA2G16	25024203	TRRUST
tri_22234	TP53	PMP2	9528859	TRRUST
tri_22235	TP53	POLK	15202001	TRRUST
tri_22236	TP53	PRNP	24339999	TRRUST
tri_22237	TP53	PROX1	22827438	TRRUST
tri_22238	TP53	PSEN1	10805794	TRRUST
tri_22239	TP53	PSME3	24157709	TRRUST
tri_22240	TP53	PTGDS	17675519	TRRUST
tri_22241	TP53	PTGS2	10196169	TRRUST
tri_22242	TP53	PTK2	17999388, 18493017	TRRUST
tri_22243	TP53	RAP2B	23535297	TRRUST
tri_22244	TP53	RCHY1	22673504	TRRUST
tri_22245	TP53	RPS6KA1	15073170	TRRUST
tri_22246	TP53	RUNX1	23679839	TRRUST
tri_22247	TP53	SALL2	24040083	TRRUST
tri_22248	TP53	SERPINE1	17172853	TRRUST
tri_22249	TP53	SESN1	19226370	TRRUST
tri_22250	TP53	SIN3A	18212064	TRRUST
tri_22251	TP53	SLC19A2	12031504	TRRUST
tri_22252	TP53	SLC2A4	23462193	TRRUST
tri_22253	TP53	SMURF1	25855145	TRRUST
tri_22254	TP53	SRC	18310282	TRRUST
tri_22255	TP53	STEAP3	18617898	TRRUST
tri_22256	TP53	TFF2	19541923	TRRUST
tri_22257	TP53	TPT1	12165856, 21245169, 24067374, 9177263, 10753197, 11420662, 18769132, 19789303, 20395368, 22989750	TRRUST
tri_22258	TP53	TP53INP1	18445702	TRRUST
tri_22259	TP53	UPP1	22611086, 11559567	TRRUST
tri_22260	TP53	ZNF385A	18418387	TRRUST
tri_22261	TP53	KLF4	10749849	TRRUST
tri_00188	STAT1	IL10	19124156, 20709027, 21398617, 18292493, 19703987, 12817009	CytReg, InnateDB, TFe, TRRUST
tri_00189	STAT1	CCL2	"12388243, 19915063, 17167270, 17255531, 11022002, """"""9558097,12488502"""""""""""""", 7561042"	CytReg, InnateDB, TFactS, TFe, TRRUST
tri_00190	STAT1	CCL19	17182562	CytReg, InnateDB
tri_00300	STAT1	CCL5	11821046, 20523058, 27109100	CytReg, TFactS
tri_00356	STAT1	IL1B	17386941	CytReg, InnateDB, TRRUST
tri_00455	STAT1	IFNG	12759422, 26170288, 11449378, 13678429, 15055356, 18616672, 16195385, 20004484, 12130529	CytReg, InnateDB, TRRUST
tri_00524	STAT1	CXCL10	25199798, 20833730, 28262979, 19136629, 19479051, 22022583, 12754213, 15006601, 20585034, 11310846, 24413774, 9858321, 23153456, 16709871	CytReg, InnateDB, TFe, TRRUST
tri_00551	STAT1	CX3CL1	25040843	CytReg
tri_00563	STAT1	TNFSF13B	23271704	CytReg, TRRUST
tri_00582	STAT1	TNFSF11	19556344	CytReg
tri_00589	STAT1	CXCL11	17202361	CytReg, InnateDB
tri_00720	STAT1	IL21	15178704, 26170288	CytReg, InnateDB
tri_00721	STAT1	IFNB1	17374731, 19096445, 18322222	CytReg, InnateDB, TRRUST
tri_00722	STAT1	IL6	24012417, 19703987, 18616672	CytReg, InnateDB, TRRUST
tri_00723	STAT1	TNFSF10	17617740	CytReg, InnateDB
tri_00724	STAT1	CXCL9	19136629, 12403783, 9680354, 20585034	CytReg, InnateDB
tri_00725	STAT1	IL12A	19164128, 20709027	CytReg, InnateDB
tri_00726	STAT1	TNF	24012417	CytReg, InnateDB
tri_00727	STAT1	IL12B	24012417	CytReg, InnateDB
tri_00728	STAT1	IFNA1	17374731, 18616672, 17050680	CytReg, InnateDB, TRRUST
tri_00785	STAT1	CCL3	16628196	CytReg, TRRUST
tri_01124	STAT1	IL17A	24408967	CytReg, InnateDB
tri_01240	STAT1	CD200	19386363	ENdb, InnateDB
tri_01404	STAT1	IFITM1	28511927, 16195385, 23386060, 2492664	ENdb, InnateDB, TFe
tri_01405	STAT1	IFITM2	28511927	ENdb
tri_01406	STAT1	IFITM3	28511927, 16195385	ENdb, InnateDB
tri_03071	STAT1	CD86	10773351	HTRIdb_LC, TFe, TRRUST
tri_03072	STAT1	CSF1	15624698, 22951020	HTRIdb_LC, ORegAnno_LC, TFe
tri_03073	STAT1	FCGRT	18566411	HTRIdb_LC, InnateDB, TRRUST
tri_03074	STAT1	FOS	8770944, 11777927, 11059775, 9389691, 8939920, 12600988, 17558387, 7507205	HTRIdb_LC, InnateDB, TFactS, TFe
tri_03075	STAT1	HLA-E	8702722, 11137213	HTRIdb_LC, TFe, TRRUST
tri_03076	STAT1	ICAM1	7957928, 7592760, 18566411, 22951020, 9990314, 12651068, 9888295	HTRIdb_LC, InnateDB, ORegAnno_LC, TFe, TRRUST
tri_03077	STAT1	IRF1	8647845, 14578356, 11909852, 18678606, 17918184, 17016442, 12115600, 11777927, 10666420, 12077266, 14581002, 11342426, 15194680, 16195385, 12654826, 11882993, 11601909, 10925286, 10725732, 19075017, 19556165, 10975815, 19136629, 19482358, 16785527, 12754213, 15107292, 21516110, 24413774, 10068671, 8168491, 8621447, 17558387, 7678055, 18497060, 18694960, 22002246, 10764778, 18401423, 24478085, 11870615	HTRIdb_LC, InnateDB, TFactS, TFe, TRRUST
tri_03078	STAT1	TRIM25	17069755	HTRIdb_LC, InnateDB
tri_03079	STAT1	NR1H4	19393742	HTRIdb_LC, TRRUST
tri_03665	STAT1	IRF7	14578356, 10924517, 17374731, 18028425, 17332413, 22951020, 12768031, 16628196	InnateDB, ORegAnno_LC, TFactS, TRRUST
tri_03673	STAT1	CIITA	11160280, 9916712, 12052885, 15242870, 12391222, 16195385, 18601229, 18500344, 9491997, 11397960, 11464288, 12847226, 10202014, 15247301, 9551976	InnateDB, TFe, TRRUST
tri_03676	STAT1	PSMB8-AS1	10921891, 9632673, 16512786, 11059775, 10764778	InnateDB
tri_03746	STAT1	CCND1	14645506	InnateDB
tri_03751	STAT1	CYBB	11781315	InnateDB
tri_03755	STAT1	FCGR1A	8756652, 17386941, 10820245, 8483949, 14734612, 12130529	InnateDB, TFactS, TFe, TRRUST
tri_03773	STAT1	NOS2	12788789, 12902503, 10882409, 15107292, 11438703, 8995425, 12586443, 16318585, 10586055, 11870615, 12162464, 12417260, 12667213, 17689680, 18274639, 18656624	InnateDB, TFe, TRRUST, Current
tri_03818	STAT1	AGT	11222715, 16949687	InnateDB, Current
tri_03843	STAT1	RSAD2	16849320	InnateDB
tri_03910	STAT1	EIF2AK2	12954221, 21178011, 12396729	InnateDB, TFe
tri_03912	STAT1	SOCS3	10359822, 14742442, 19115200	InnateDB, TFactS, TRRUST
tri_03925	STAT1	IFIT2	14600148, 15194680	InnateDB
tri_03951	STAT1	CFH	17558024	InnateDB
tri_03954	STAT1	CD40	10823830, 15182726, 17660512, 12754213, 20006573	InnateDB, TFe, TRRUST
tri_04131	STAT1	IRF5	15805103	InnateDB
tri_04133	STAT1	IRF8	19074829, 10102295, 16918696	InnateDB, TRRUST
tri_04149	STAT1	FAS	17878376, 16317104	InnateDB, TRRUST
tri_04181	STAT1	TAP1	15778351, 14735146, 11059775, 9632673	InnateDB, TRRUST
tri_04190	STAT1	IFI6	17016442, 15467738, 16195385, 3359997	InnateDB, TFe
tri_04197	STAT1	KLF4	12441126, 17558387	InnateDB, TFe
tri_04223	STAT1	MYD88	7567467	InnateDB, TFactS
tri_04256	STAT1	not_applicable	19652026, 19721002, 20585034, 24413774, 9854025, 16709871, 20687925	InnateDB, TFe, TRRUST, Current
tri_04360	STAT1	STAT1	17374731, 23386060	InnateDB
tri_04362	STAT1	STAT2	17374731, 16918696	InnateDB, TRRUST
tri_04386	STAT1	ISG15	8943426, 18287094, 15047834, 11882993, 15644321, 347694	InnateDB, TFe
tri_04415	STAT1	GBP1	16195385, 19136629, 1281555	InnateDB, TFe
tri_04418	STAT1	IFI27	16195385, 23386060	InnateDB
tri_04423	STAT1	IRF9	16195385, 22951020, 8990168	InnateDB, ORegAnno_LC, TRRUST
tri_04427	STAT1	IFIT1	16195385, 11991981	InnateDB, TFe
tri_04444	STAT1	SHH	19800966	InnateDB
tri_04506	STAT1	TLR9	16301648	InnateDB
tri_04520	STAT1	PTN	19917672	InnateDB
tri_04567	STAT1	ADAR	17332413, 26335850, 10095120	InnateDB, TFe
tri_04663	STAT1	SCGB3A1	19135978	InnateDB
tri_04669	STAT1	FGL2	16709865, 24413774	InnateDB
tri_04677	STAT1	IDO1	16785527, 8663541	InnateDB, TFe
tri_04736	STAT1	ZC3HAV1	20048147, 22951020	InnateDB, ORegAnno_LC
tri_04929	STAT1	TLR8	20829351	InnateDB
tri_05543	STAT1	TBX21	21516110, 18414429, 11752460, 22438254	InnateDB, TRRUST
tri_06906	STAT1	GBP3	24413774	InnateDB
tri_07451	STAT1	GLS	22479354	InnateDB, TRRUST
tri_07549	STAT1	ENTPD1	23995234	InnateDB
tri_07576	STAT1	SOCS1	24413774, 12438448	InnateDB, TRRUST, Current
tri_07577	STAT1	IFIT1B	24413774	InnateDB
tri_07578	STAT1	MYC	24413774, 17558387	InnateDB, TFe
tri_07579	STAT1	EGR1	24413774, 16951379	InnateDB, TRRUST
tri_08183	STAT1	HCFC1	22951020	ORegAnno_LC
tri_08191	STAT1	ETV7	22951020	ORegAnno_LC
tri_08208	STAT1	HDAC7	22951020	ORegAnno_LC
tri_08215	STAT1	CDC7	22951020	ORegAnno_LC
tri_08219	STAT1	ZNF655	22951020	ORegAnno_LC
tri_08225	STAT1	CREM	22951020	ORegAnno_LC
tri_08234	STAT1	AIM2	22951020	ORegAnno_LC
tri_08246	STAT1	PROS1	22951020	ORegAnno_LC
tri_08247	STAT1	LAP3	22951020	ORegAnno_LC
tri_08248	STAT1	KIF2A	22951020	ORegAnno_LC
tri_08255	STAT1	SNRNP27	22951020	ORegAnno_LC
tri_08263	STAT1	BRD8	22951020	ORegAnno_LC
tri_08268	STAT1	IFI35	22951020	ORegAnno_LC
tri_08271	STAT1	MED16	22951020	ORegAnno_LC
tri_08274	STAT1	ATG4C	22951020	ORegAnno_LC
tri_08277	STAT1	GSTK1	22951020	ORegAnno_LC
tri_08287	STAT1	AGFG2	22951020	ORegAnno_LC
tri_08290	STAT1	UBR1	22951020	ORegAnno_LC
tri_08293	STAT1	COX5B	22951020	ORegAnno_LC
tri_08301	STAT1	UQCRQ	22951020	ORegAnno_LC
tri_08312	STAT1	NAA35	22951020	ORegAnno_LC
tri_08313	STAT1	MAN1A1	22951020	ORegAnno_LC
tri_08320	STAT1	IRF2	22951020	ORegAnno_LC
tri_08324	STAT1	TMED5	22951020	ORegAnno_LC
tri_08328	STAT1	MUC1	22951020, 11084045, 17151127	ORegAnno_LC, TFactS, TRRUST
tri_08333	STAT1	SDHAF2	22951020	ORegAnno_LC
tri_08336	STAT1	SBNO2	22951020	ORegAnno_LC
tri_08340	STAT1	ZNF367	22951020	ORegAnno_LC
tri_08345	STAT1	RPS24	22951020	ORegAnno_LC
tri_08349	STAT1	INO80	22951020	ORegAnno_LC
tri_08353	STAT1	SEMA4B	22951020	ORegAnno_LC
tri_08356	STAT1	VPS33B	22951020	ORegAnno_LC
tri_08359	STAT1	FBXO5	22951020	ORegAnno_LC
tri_08361	STAT1	NMI	22951020	ORegAnno_LC
tri_08364	STAT1	EDEM2	22951020	ORegAnno_LC
tri_08366	STAT1	PARP14	22951020	ORegAnno_LC
tri_08368	STAT1	PWP2	22951020	ORegAnno_LC
tri_08369	STAT1	ELP3	22951020	ORegAnno_LC
tri_08378	STAT1	MTMR9	22951020	ORegAnno_LC
tri_08384	STAT1	EARS2	22951020	ORegAnno_LC
tri_08386	STAT1	APOL4	22951020	ORegAnno_LC
tri_08388	STAT1	DDX50	22951020	ORegAnno_LC
tri_08403	STAT1	DCLRE1C	22951020	ORegAnno_LC
tri_08421	STAT1	CLIC2	22951020	ORegAnno_LC
tri_10261	STAT1	BCL6	15596057	TFactS
tri_10262	STAT1	CDKN1A	10866323, 10023678	TFactS, TRRUST
tri_10263	STAT1	GBP2	17293456	TFactS, TRRUST
tri_10264	STAT1	IL2RA	10068671, 12244150	TFactS, TRRUST
tri_10265	STAT1	IL6ST	9169475	TFactS, TFe
tri_10266	STAT1	LONP1	10068671	TFactS
tri_10267	STAT1	PRF1	10072525	TFactS
tri_10268	STAT1	VIP	7713908, 9642274, 7708062, 12425940	TFactS, TFe, TRRUST
tri_10605	STAT1	CHRNA1	17558387	TFe
tri_10606	STAT1	CHRND	17558387	TFe
tri_10607	STAT1	CHRNE	17558387	TFe
tri_10608	STAT1	CHRNG	17558387	TFe
tri_10609	STAT1	ACTA1	17558387	TFe
tri_10610	STAT1	ACTC1	17558387	TFe
tri_10611	STAT1	AHR	17558387	TFe
tri_10612	STAT1	PHOX2A	17558387	TFe
tri_10613	STAT1	AOC3	17558387	TFe
tri_10614	STAT1	ARNT	17558387	TFe
tri_10615	STAT1	SERPINA3	9461605	TFe
tri_10616	STAT1	NKX3-2	17558387	TFe
tri_10617	STAT1	CYP8B1	17558387	TFe
tri_10618	STAT1	DES	17558387	TFe
tri_10619	STAT1	EN1	17558387	TFe
tri_10620	STAT1	CREB1	17558387	TFe
tri_10621	STAT1	MECOM	17558387	TFe
tri_10622	STAT1	F10	17558387	TFe
tri_10623	STAT1	GATA1	17558387	TFe
tri_10624	STAT1	MST1	17558387	TFe
tri_10625	STAT1	HOXA5	17558387	TFe
tri_10626	STAT1	CYP7A1	17558387	TFe
tri_10627	STAT1	IGF1	17558387	TFe
tri_10628	STAT1	INS	17558387	TFe
tri_10629	STAT1	MEF2C	17558387	TFe
tri_10630	STAT1	MYB	17558387	TFe
tri_10631	STAT1	MYF6	17558387	TFe
tri_10632	STAT1	MYH3	17558387	TFe
tri_10633	STAT1	MYH6	17558387	TFe
tri_10634	STAT1	MYOG	17558387	TFe
tri_10635	STAT1	NKX2-5	17558387	TFe
tri_10636	STAT1	MYCN	17558387	TFe
tri_10637	STAT1	NTSR1	17558387	TFe
tri_10638	STAT1	PAX2	17558387	TFe
tri_10639	STAT1	PAX4	17558387	TFe
tri_10640	STAT1	E2F1	17558387	TFe
tri_10641	STAT1	PROC	17558387	TFe
tri_10642	STAT1	ELK1	17558387	TFe
tri_10643	STAT1	ELK4	17558387	TFe
tri_10644	STAT1	S100B	17558387	TFe
tri_10645	STAT1	PRRX2	17558387	TFe
tri_10646	STAT1	SOX17	17558387	TFe
tri_10647	STAT1	TBXT	17558387	TFe
tri_10648	STAT1	ALB	17558387	TFe
tri_10649	STAT1	TNNC1	17558387	TFe
tri_10650	STAT1	TTR	17558387	TFe
tri_10651	STAT1	ALDOB	17558387	TFe
tri_10652	STAT1	FOXF2	17558387	TFe
tri_10653	STAT1	FOXC1	17558387	TFe
tri_10654	STAT1	FOXL1	17558387	TFe
tri_10655	STAT1	APOB	17558387	TFe
tri_10656	STAT1	AR	17558387	TFe
tri_10657	STAT1	GFI1	17558387, 19505891	TFe, TRRUST
tri_10658	STAT1	NR5A2	17558387	TFe
tri_10659	STAT1	FOXA2	17558387	TFe
tri_10660	STAT1	G6PC	17558387	TFe
tri_10661	STAT1	GABPA	17558387	TFe
tri_10662	STAT1	DBH	17558387	TFe
tri_10663	STAT1	GATA2	17558387	TFe
tri_10664	STAT1	HLF	17558387	TFe
tri_10665	STAT1	TLX1	17558387	TFe
tri_10666	STAT1	ISG20	10871365	TFe
tri_10667	STAT1	MEF2A	17558387	TFe
tri_10668	STAT1	MX1	9781817	TFe
tri_10669	STAT1	MYH4	17558387	TFe
tri_10670	STAT1	MYH7	17558387	TFe
tri_10671	STAT1	ATF1	17558387	TFe
tri_10672	STAT1	NFIL3	17558387	TFe
tri_10673	STAT1	NFKB1	17558387	TFe
tri_10674	STAT1	NHLH1	17558387	TFe
tri_10675	STAT1	OAS1	2456211	TFe
tri_10676	STAT1	PAH	17558387	TFe
tri_10677	STAT1	PAX6	17558387	TFe
tri_10678	STAT1	PBX1	17558387	TFe
tri_10679	STAT1	PBX1	17558387	TFe
tri_10680	STAT1	MAFB	17558387	TFe
tri_10681	STAT1	PPARG	17558387, 15339920	TFe, TRRUST
tri_10682	STAT1	REL	17558387	TFe
tri_10683	STAT1	RORA	17558387	TFe
tri_10684	STAT1	RREB1	17558387	TFe
tri_10685	STAT1	RXRA	17558387	TFe
tri_10686	STAT1	CFB	11745388	TFe, TRRUST
tri_10687	STAT1	SLC6A2	17558387	TFe
tri_10688	STAT1	SOX9	17558387	TFe
tri_10689	STAT1	SP1	17558387	TFe
tri_10690	STAT1	SP3	17558387	TFe
tri_10691	STAT1	SPI1	17558387	TFe
